url,image,name,price
https://www.electronicmusicworks.com/eurorack/mixer-6-ch.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/m/i/mixer_6-ch_b.jpg,MIXER 6-CH,"
                                            MSRP $78.00                                    "
https://www.electronicmusicworks.com/eurorack/4-ch-stereo-mixer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/4/-/4-ch_stereo_mixer_b_1.jpg,4-CH STEREO MIXER,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/8-ch-mixer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/_/8_ch_mixer.jpeg,8-CH MIXER,"
                                            MSRP $148.00                                    "
https://www.electronicmusicworks.com/eurorack/8-ch-stereo-mixer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/-/8-ch_stereo_mixer_b.jpg,8-CH STEREO MIXER,"
                                            MSRP $119.00                                    "
https://www.electronicmusicworks.com/eurorack/matrice-mixer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/m/a/matrice.jpeg,MATRICE MIXER,"
                                            MSRP $138.00                                    "
https://www.electronicmusicworks.com/eurorack/master-mixer-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/m/a/master_mixer_4ch.jpeg,MASTER MIXER 4X,"
                                            MSRP $219.00                                    "
https://www.electronicmusicworks.com/eurorack/crossfader.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/c/r/crossfader_b.jpg,CROSSFADER,"
                                            MSRP $78.00                                    "
https://www.electronicmusicworks.com/eurorack/echo-delay.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/e/c/echo.jpeg,ECHO,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/dual-delay.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/d/u/dual_delay_b.jpg,DUAL DELAY,"
                                            MSRP $221.00                                    "
https://www.electronicmusicworks.com/eurorack/emw-chorus.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/e/m/emw_chorus.jpeg,EMW CHORUS,"
                                            MSRP $129.00                                    "
https://www.electronicmusicworks.com/eurorack/phaser-4.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/p/h/phaser_4_b.jpg,PHASER 4,"
                                            MSRP $148.00                                    "
https://www.electronicmusicworks.com/eurorack/phaser-12.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/p/h/phaser_12_b.jpg,PHASER 12,"
                                            MSRP $284.00                                    "
https://www.electronicmusicworks.com/eurorack/8-step-level-sequencer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/-/8-step_level_sequencer.jpg,8-STEP LEVEL SEQUENCER,"
                                            MSRP $128.00                                    "
https://www.electronicmusicworks.com/eurorack/wave-compressor.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/w/a/wave_compressor_b.jpg,WAVE COMPRESSOR,"
                                            MSRP $98.00                                    "
